Favwon,Prior,Market,Bet,Kelly,Month,Numberofsets,Wrank,Lrank,Markettotal
0,0.514368475,-0.151321846,1,0.16845314,1,3,56,63,0.665690321
1,0.584118747,-0.048072428,0,0,1,3,51,90,0.632191175
0,0.691699613,0.077373529,1,0,1,3,66,74,0.614326084
1,0.522185078,-0.339586725,1,0.357240039,1,3,80,1214,0.861771803
0,0.513766136,-0.087050976,1,0.085387258,1,3,52,55,0.600817111
1,0.611906666,0.03413916,1,0.120507519,1,3,27,36,0.577767506
1,0.845474713,-0.116248696,1,0.039886943,1,3,5,60,0.961723408
0,0.678025656,-0.056728202,1,0,1,3,38,47,0.734753857
1,0.793800983,0.066210762,1,0.373413873,1,3,125,138,0.727590221
1,0.554721743,-0.102913401,1,0.267699001,1,3,11,32,0.657635144
1,0.709842229,-0.129365558,1,0.052183953,1,3,21,44,0.839207788
1,0.599705055,-0.010423072,0,0.010330041,1,3,88,146,0.610128127
1,0.649590455,0.072356559,1,0.227744493,1,3,18,68,0.577233895
1,0.561265791,-0.011734438,1,0.154956266,1,3,28,35,0.573000229
1,0.55214038,-0.086837256,1,0.042613688,1,3,102,140,0.638977636
0,0.567830466,0.009171248,1,0,1,3,26,165,0.558659218
1,0.76624004,-0.170967083,1,0.132486817,1,3,5,70,0.937207123
0,0.604206061,-0.149941752,1,0,1,3,80,165,0.754147813
1,0.663210488,0.043439803,1,0.180772889,1,3,23,55,0.619770685
0,0.526867936,-0.098229735,1,0.161642213,1,3,37,88,0.625097672
1,0.647647589,-0.058666862,1,0,1,3,14,30,0.706314451
0,0.677111056,-0.168054596,1,0,1,3,21,125,0.845165652
0,0.612303746,-0.035280763,0,0,1,3,27,51,0.64758451
1,0.696165724,0.056697761,1,0.239267483,1,3,31,56,0.639467963
1,0.521958526,-0.124537465,1,0.176576705,1,3,29,74,0.646495992
0,0.601304269,-0.033213497,0,0,1,3,20,56,0.634517766
1,0.592157131,0.033123141,1,0.207223033,1,3,23,49,0.559033989
1,0.655430457,-0.056110741,0,0,1,3,32,47,0.711541198
0,0.61144513,0.012714439,1,0,1,3,18,40,0.598730691
